Metric ID,Asset regime,Investor question,Metric,FERC source,Frequency,Grain/scope,Target treatment,Primary or supporting?,Reason,Redundant with,Display condition,Missing-data state,Source drill-through,Validation requirement
IS-05,Intrastate §311/Hinshaw,Commercial durability,Distinct shippers and top-3/top-5 concentration,Form 549D,Quarterly,Transaction row -> filer,HEADLINE,Primary (concentration; the raw count stays in drill-down),Dependence on large reported shippers,Raw shipper count subsumed,Computed on the filer-local proprietary identifier (row-level shipper identity is not stable across quarters); usage-share basis,SOURCE_NOT_RETRIEVED until ingestion,Derived metric,Identifier stability rule documented per filer
IS-06,Intrastate §311/Hinshaw,Commercial durability,Firm versus interruptible service (firm share of billed usage),Form 549D character of service,Quarterly,Transaction row -> filer,HEADLINE + CHART,Primary,Contract quality; an entirely-interruptible filer is itself a finding,None,Share of reported §311/Hinshaw activity only,SOURCE_NOT_RETRIEVED until ingestion,Derived metric,Basis = billed usage share
IS-07,Intrastate §311/Hinshaw,Commercial durability,Affiliate activity share,Form 549D affiliate flag,Quarterly,Transaction row -> filer,HEADLINE,Primary,Third-party vs internal mix; affiliate rows may carry usage with blank revenue - blank is not zero,None,Blank-revenue affiliate rows visibly reduce the coverage badge (IS-04),SOURCE_NOT_RETRIEVED until ingestion,Derived metric,NULL-revenue handling asserted (Tejas affiliate precedent)
IS-08,Intrastate §311/Hinshaw,Commercial durability,Contract begin / end dates (firm contracts ending within two years),Form 549D,Quarterly,Transaction row,HEADLINE,Primary (renewal-exposure card),Roll-off risk for the firm book,None,Card shown only where firm end dates are populated for the filer; otherwise the card states end dates not reported,FILER_BLANK where dates unpopulated; SOURCE_NOT_RETRIEVED until ingestion,Structured raw metric,End dates expected on firm service rows
IS-09,Intrastate §311/Hinshaw,Rates and regulation,Reported component-level rates (with descriptors),Form 549D rate fields + descriptors,Quarterly,Transaction row,GATED,Gated (store but do not surface),Reservation per-day descriptors reconcile 0/135; usage rate 58% exact / 82% explained - not comparable across filers until descriptor and unit normalisation is proven; never an all-in realised price,None,Only ever displayed with descriptor and billing-unit shown; the no-time-basis subset may graduate after normalisation,GATED,Structured raw metric with descriptor fields,Component-matched annual reconciliation per the corrected methodology
IS-10,Intrastate §311/Hinshaw,Rates and regulation,Discounted-rate presence,Form 549D discounted-rate fields,Quarterly,Transaction row,DRILL_DOWN,Supporting,Exposure to reported discounted terms; values are delimiter-varying lists never averages,None,Binary discount-present flag + contract count only; never proof of weak pricing,SOURCE_NOT_RETRIEVED until ingestion,Structured raw metric,Delimiter handling per filer (comma / semicolon / mixed)
IS-11,Intrastate §311/Hinshaw,Rates and regulation,Rate schedule and PR docket,Form 549D + eLibrary,Quarterly / event-driven,Transaction row,DRILL_DOWN + EVENT_ALERT,Supporting,Connects reported activity to its governing rate authority; PR-docket events feed the newswire,None,The docket link states which service rows it governs,SOURCE_NOT_RETRIEVED (549D side); PR dockets already live,eLibrary event drill-through + structured raw metric,PR docket join validated per filer
LNG-01,LNG (NGA §3),Capital and physical profile,Authorised send-out / liquefaction capacity,Certificate orders (eLibrary),Event-driven,Asset,HEADLINE,Primary,The authorised scale of the facility - the anchor figure FERC actually publishes,None,Labelled authorised - never actual output or utilisation; hand-curated from order text with order/docket/page citation; amendment history retained,Curated value present (all 9 post-COD LNG assets carry one today); AMBIGUOUS if orders conflict,LNG hand-curated order drill-through (order accession / docket / page / exact value / status note),Current authority vs historical amendments kept distinct
LNG-02,LNG (NGA §3),Capital and physical profile,Authorised LNG storage capacity,Certificate orders (eLibrary),Event-driven,Asset,HEADLINE,Primary,Authorised storage scale,None,Same curation and labelling rules as LNG-01,Same as LNG-01,LNG hand-curated order drill-through,Same as LNG-01
LNG-03,LNG (NGA §3),Events and risks,In-service status and dates (trains / berths / tanks / facilities),eLibrary letter orders,Event-driven,Asset / facility,HEADLINE (status table),Primary,Which authorised facilities have actually entered service - the core status view,None,A company's in-service REQUEST is never displayed as FERC approval; authorised-vs-in-service derived comparison only where facility-level orders carry compatible capacity definitions,NOT_YET_FILED for facilities awaiting authorisation,eLibrary event drill-through,Request/approval distinction asserted on every row
LNG-04,LNG (NGA §3),Events and risks,Major certificate and regulatory events,eLibrary CP dockets,Event-driven,Docket,EVENT_ALERT + CHART (timeline),Primary (the regulatory timeline is the page's main visual),"Expansions, amendments, conditions - the best FERC-only history of the terminal",None,"Application, order, rehearing/remand and in-service events rendered distinctly",n/a,eLibrary event drill-through,Event classification from documentType (never description text alone)
LNG-05,LNG (NGA §3),Sources and quality,Semi-annual operational report presence,eLibrary ('284.126 (g) Semi-Annual Storage Report'),Semi-annual,Combined filing entities,HEADLINE (freshness card) + EVENT_ALERT (missing expected report),Primary,Confirms reporting continuity and freshness; contents are PDF and not parsed,None,'Filing presence only' label - never proof of continuous operation or compliance; cadence confirmed per asset before the missing-report alert arms,NOT_YET_FILED inside the window; SOURCE_NOT_RETRIEVED where sweep coverage is incomplete (Sabine Pass series currently stored only to 2019 - an ingestion gap not a FERC gap),eLibrary event drill-through + archive list,Expected-cadence model per asset validated against filing history
LNG-06,LNG (NGA §3),Events and risks,FERC site inspections and follow-up,eLibrary inspection letters,Event-driven / irregular,Asset,EVENT_ALERT,Primary (latest inspection also shown as a status card),The most relevant FERC operating-oversight signal,None,Inspection date shown only with its outcome/follow-up status; closure never inferred from a later unrelated filing; cadence not asserted as annual,n/a,eLibrary event drill-through,Outcome curated from document; open conditions tracked explicitly
EV-01,Interstate gas,Events and risks,Serious service interruption report,eLibrary documentType '260.9 Service Interruption Report',Event-driven (within 20 days),Filing entity,EVENT_ALERT,Primary,Unplanned outages capable of moving earnings; zero observed in our universe to date - expect long quiet periods,None,Matched on documentType only - description wording varies; a force-majeure notice or maintenance event is never auto-classified as a §260.9 event,n/a (absence of events is the normal state),eLibrary event drill-through,documentType-only matching asserted; zero-false-positive test against QF docket numbers
