metric_id,display,meaning,templates,regimes,optional_regimes,concept_local,schedule,scope,unit_rule,selector,fallback,derivation,dependencies,quality_gate,role,gate_reason,implementation,adapter,registry_version,notes
liq_miles_of_pipeline,Miles of pipeline,Miles of pipeline: miles of pipeline operated.,liquids,Form 6:annual,,MilesOfTrunkLinesForProductsOperated,Form 6 property schedules,filing entity,utr:mi,undim,,,,exact labels preserved; gross additions are not capex,profile,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_interstate_operating_revenue,Page 700 interstate operating revenue,Interstate operating revenue as reported on Page 700. NOT p.114 whole-entity revenue.,liquids,Form 6 Page 700:annual,,InterstateOperatingRevenues,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_throughput_barrels,Page 700 throughput (barrels),Interstate throughput in barrels as reported on Page 700.,liquids,Form 6 Page 700:annual,,NumberOfBarrelsReceivedAndDeliveredOutInterstate,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",utr:bbl | ferc:bbl | pure (reduced-schedule filers),undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_barrel_miles,Page 700 barrel-miles,Interstate barrel-miles on Page 700.,liquids,Form 6 Page 700:annual,,NumberOfBarrelMilesReceivedAndDeliveredOutInterstate,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",barrel-miles,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_total_cost_of_service,Page 700 total cost of service,"The carrier's reported cost of service. A regulatory computation, not actual cost.",liquids,Form 6 Page 700:annual,,CostOfService,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_original_cost_rate_base,Page 700 original-cost rate base,"The rate base used as the INPUT to the Page 700 cost-of-service computation, on the original-cost methodology. It is a regulatory construct, not an asset value, not invested capital, and never a denominator for realised return on capital. Return over rate base is the ALLOWED return in a cost-of-service calculation, never an achieved one.",liquids,Form 6 Page 700:instant,,OriginalCostIncludedInRateBase,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_trended_original_cost_rate_base,Page 700 trended-original-cost rate base,"The rate base used as the INPUT to the Page 700 cost-of-service computation, on the trended-original-cost methodology. It is a regulatory construct, not an asset value, not invested capital, and never a denominator for realised return on capital. Return over rate base is the ALLOWED return in a cost-of-service calculation, never an achieved one.",liquids,Form 6 Page 700:instant,,TrendedOriginalCostRateBase,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_return_component,Page 700 return component,"The return ALLOWANCE inside the cost-of-service calculation. An input to that calculation, never an achieved return on capital or realised profit.",liquids,Form 6 Page 700:instant,,ReturnOnRateBase,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_income_tax_allowance,Page 700 income tax allowance,Income tax allowance component of the cost of service.,liquids,Form 6 Page 700:instant,,IncomeTaxAllowance,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_depreciation_regulatory,Page 700 regulatory-basis depreciation,Depreciation on the regulatory basis used in the cost of service.,liquids,Form 6 Page 700:annual,,DepreciationExpense,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",iso4217:USD,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_wacc,Page 700 weighted average cost of capital,The WACC used in the return allowance.,liquids,Form 6 Page 700:annual,,WeightedAverageCostOfCapitalRateOfReturn,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",percent,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_capital_structure_debt,Page 700 capital structure - debt share,Debt proportion in the capital structure used for the return allowance.,liquids,Form 6 Page 700:annual,,AdjustedCapitalStructureRatioForLongTermDebtRateOfReturn,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",percent,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_capital_structure_equity,Page 700 capital structure - equity share,Equity proportion in the capital structure used for the return allowance.,liquids,Form 6 Page 700:annual,,AdjustedCapitalStructureRatioForStockholdersEquityRateOfReturn,Form 6 Page 700,"INTERSTATE, carrier-reported, annual. Never mixed with whole-entity Form 6 figures.",percent,undim,,,,scope tag 'interstate p.700' must match on both sides of any ratio,detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_revenue_less_cost_of_service,Page 700 revenue less reported cost of service,A REGULATORY SCREEN: reported interstate revenue minus reported cost of service. Not realised profit and not a finding that rates are unlawful.,liquids,Form 6 Page 700:annual,,,,"both inputs from Page 700, same year, same carrier",iso4217:USD,derived_difference,,"difference(p700_interstate_operating_revenue, p700_total_cost_of_service)",p700_interstate_operating_revenue;p700_total_cost_of_service,both inputs present and from the same Page 700 filing,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
p700_revenue_to_cost_ratio,Page 700 revenue / cost-of-service ratio,The same regulatory screen expressed as a ratio.,liquids,Form 6 Page 700:annual,,,,Page 700 interstate only,ratio,derived_ratio,,"ratio(p700_interstate_operating_revenue, p700_total_cost_of_service)",p700_interstate_operating_revenue;p700_total_cost_of_service,denominator non-zero; displayed with the dollar figures as one story,headline,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_revenue_per_barrel,Transport revenue per barrel,"Matched transport/trunk revenue divided by matched barrels. Revenue intensity, NOT the filed tariff rate.",liquids,Form 6:annual;Form 6 Page 700:annual,,,,"requires matching service, product, route and period on both inputs",USD per barrel,derived_ratio,,"ratio(matched revenue, matched barrels)",p700_interstate_operating_revenue;p700_throughput_barrels,both inputs must carry the same scope tag; a whole-entity revenue over a Page 700 barrel count is refused,conditional,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_opex_per_barrel,Operating expense per barrel,Matched operating expense divided by matched barrels.,liquids,Form 6:annual,,,,requires matching scope on both inputs,USD per barrel,derived_ratio,,"ratio(liq_operating_expenses, liq_barrels_delivered)",liq_operating_expenses;liq_barrels_delivered,scope compatibility checked before publication,conditional,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_form6_filing_completeness,Form 6 filing completeness,Whether the carrier filed a FULL Form 6 or a reduced-schedule filing. The presence of Page 700 alone does NOT prove a full Form 6.,liquids,Form 6:annual_observation,,FormType,Form 6 entry point vs filed schedules,filing-level attribute,categorical,schedule_census,,,,"determined by comparing filed schedules against the form's taxonomy, not by the presence of any single page",detail,,implemented,liquids_xbrl,all-regime-2026-09-09-integrated2,
liq_oil_pipeline_index_factor,FERC Oil Pipeline Index - ceiling multiplier,"The multiplier 18 CFR 342.3(d) directs oil pipelines to apply to the previous index year's rate ceiling to obtain the next one. A DIMENSIONLESS ratio of ceiling to ceiling, never a percent. It is an industry-wide regulatory ceiling adjustment, NOT a commodity oil price and NOT any carrier's actual tariff change.",liquids,FERC Oil Pipeline Index:interval,,,"Notice of Annual Change in the PPI-FG, Docket No. RM93-11-000","industry-wide oil pipeline rate-ceiling adjustment, not a carrier rate",multiplier,published_index_notice,,,,the index year runs 1 July to 30 June; a superseded factor is retained with its own effective date and never overwritten,detail,,implemented,oil_index,all-regime-2026-09-09-integrated2,
liq_oil_pipeline_index_change,FERC Oil Pipeline Index - annual change,The index figure FERC publishes as 'the percent change (expressed as a decimal)'. Stored as a fraction; displayed as a percent. Equals factor - 1 and is never interchangeable with the factor.,liquids,FERC Oil Pipeline Index:interval,,,"Notice of Annual Change in the PPI-FG, Docket No. RM93-11-000","industry-wide oil pipeline rate-ceiling adjustment, not a carrier rate",percent,published_index_notice,,,,"read only from each notice's explicit published change; it is NEVER back-derived from the factor, including for anomaly/reconsideration years",detail,,implemented,oil_index,all-regime-2026-09-09-integrated2,
ioc_firm_transport_mdq,Firm transportation MDQ,"Sum of eligible D-record transportation MDQ at its contract/service grain, at the header snapshot date. Not physical capacity and not firm revenue.",interstate_gas;gas_storage,Form 549B IOC:snapshot,,,"Form 549B Index of Customers, D records","contracted firm transportation, filer-reported",Dth/day,ioc_d_records,,,,"snapshot date taken from the header field, not the report date; contracts aggregated at their own grain before summing",headline,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_contracted_storage_quantity,Contracted storage quantity,"The quantity the pipeline is OBLIGATED TO STORE. Despite the legacy MDQ caption on the field, this is NOT Dth/day and NOT a withdrawal capability.",gas_storage;interstate_gas,Form 549B IOC:snapshot,,,Form 549B IOC storage quantity field,contracted storage obligation,"Dth (quantity, not per-day)",ioc_d_records,,,,"never added to transport MDQ, inventory capacity or daily withdrawal",headline,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_top5_shipper_concentration,Top-five shipper MDQ concentration,"Share of matched MDQ held by the five largest LEGAL SHIPPERS, after aggregating each shipper's contracts. Not credit or revenue concentration.",interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,share of the stated denominator only,percent,ioc_aggregate_then_rank,,,ioc_firm_transport_mdq,explicit denominator published; identity coverage and unknown-identity share published alongside; contracts aggregated to the shipper first,headline,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_expiry_profile,Primary-term expiry profile,"MDQ by remaining primary term in 0-1, 1-2, 2-5, 5+ year buckets, with continuing-after-primary-term and unknown reported separately.",interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,matched contracts only,Dth/day by bucket,ioc_expiry_buckets,,,ioc_firm_transport_mdq,unknown-expiry MDQ share always shown; the continuation field describes a ROLLOVER PERIOD and is never treated as a guaranteed termination date,headline,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_affiliate_share,Affiliate contract share,Share of matched MDQ held by contracts flagged as affiliate.,interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,explicit denominator,percent,ioc_flag_share,,,,unknown-affiliate rows counted separately from non-affiliate,detail,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_identity_coverage,Shipper identity coverage,Share of matched MDQ whose shipper identity resolved to a stable ID.,interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,diagnostic,percent,ioc_coverage,,,,IDs are filer-local unless evidence supports a wider identity,detail,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_mdq_change,MDQ change versus prior snapshot,Change in matched MDQ between two snapshots of the same filer.,interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,"same filer, consecutive snapshots",Dth/day,ioc_snapshot_diff,,,ioc_firm_transport_mdq,contracts absent from an incomplete snapshot are NOT termination events; arrival of a revised file is separated from an economic change,trend,,implemented,ioc,all-regime-2026-09-09-integrated2,
ioc_points,Contract point and segment records,"P-record receipt (M2), delivery (MQ) and segment endpoint (S8/S9) records retained for location detail.",interstate_gas;gas_storage,Form 549B IOC:snapshot,,,,location detail only,codes,ioc_p_records,,,,"S8 is a SEGMENT endpoint, not a receipt code; no universal 'P sum = 2 x D total' assertion; allocations only where type-aware and separately validated",detail,,implemented,ioc,all-regime-2026-09-09-integrated2,
cap_reported_capacity,Reported capacity (annual capacity report),"Entity/route/storage capacity figures from the annual 549B capacity report, each with its own definition and directional scope.",interstate_gas;gas_storage,Form 549B Capacity:as_of,,,Form 549B annual capacity report (due March 1),as defined in the report; direction and season preserved,as reported,document_span,,,,"definition, directional scope, unit, date, page evidence and confidence stored with every figure; a filer-specific value may be shown even when peer comparison is invalid",conditional,,implemented,capacity,all-regime-2026-09-09-integrated2,
cap_peak_day_ratio,Peak-day delivery / deliverability ratio,Peak-day deliveries over reported peak-day deliverability.,interstate_gas,Form 549B Capacity:as_of,,,,"requires matching system scope, season/date, storage treatment and units",percent,derived_ratio,,,single_day_peak_deliveries;cap_reported_capacity,"attempted ONLY when all four scope dimensions align; never given a universal denominator; called peak-day, never annual, utilisation",gated,"ungates only when the capacity report's definition, direction, season and unit are confirmed to match the p.518 peak scope for that filer",implemented,capacity,all-regime-2026-09-09-integrated2,
i311_billed_transport_usage,Quarterly billed transportation usage,Billed transportation usage on FERC-reportable NGPA 311/Hinshaw services.,intrastate_549d,Form 549D:quarter,,,,FERC-reportable 311/Hinshaw services only - NOT the whole intrastate pipeline,as reported per service,d549_usage,,,,"grouped by compatible service and unit; storage, injection, withdrawal and reservation determinants kept separate",headline,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_storage_determinants,Storage / injection / withdrawal / reservation determinants,Separately scoped billing determinants that are not transportation usage.,intrastate_549d,Form 549D:quarter,,,,each determinant separately scoped,as reported,d549_determinants,,,,never merged into transportation usage or into one another,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_firm_share,Firm share of reported billed usage,Service mix. NOT the percentage of revenue protected by fixed fees.,intrastate_549d,Form 549D:quarter,,,,share of the stated billed activity,percent,d549_share,,,i311_billed_transport_usage,explicit denominator; unknown service type reported separately,headline,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_top5_shipper_share,Top-five shipper share,Share of the specified billed activity held by the five largest shippers.,intrastate_549d,Form 549D:quarter,,,,share of the stated billed activity,percent,d549_aggregate_then_rank,,,i311_billed_transport_usage,stable filer-local identity and identity coverage required; contracts aggregated to the shipper before ranking,headline,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_affiliate_activity,Affiliate activity,"Billed activity flagged as affiliate, with unknown-affiliate kept separate.",intrastate_549d,Form 549D:quarter,,,,explicit denominator,percent,d549_flag_share,,,,unknown affiliate flags never merged into non-affiliate; blank revenue is not zero,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_contract_expiry,Contract primary-term expiry,Expiry distribution on an explicitly labelled weight.,intrastate_549d,Form 549D:quarter,,,,"weight is named: contract count, billed usage or matched revenue",by weight,d549_expiry,,,,the weight is always stated; no 'earnings at risk' inferred from usage,conditional,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_annual_transport_revenue,Annual reported transportation revenue,"Annual customer revenue for transportation services, reported in the Q4 filing. Under Order 735-A this EXCLUDES storage services.",intrastate_549d,Form 549D:annual,,,,"FERC-reportable 311/Hinshaw transportation services, excluding storage",iso4217:USD,d549_annual_revenue,,,,revenue completeness measured over transportation records and the annual period; unreported storage revenue must NOT depress transportation coverage; annual revenue may exist for contracts with no Q4 usage,headline,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_revenue_components,Annual revenue components,Reported revenue components compared with the reported total for the same year and service.,intrastate_549d,Form 549D:annual,,,,"same-year, same-service components",iso4217:USD,d549_components,,,i311_annual_transport_revenue,"components reconciled to their own reported total, not to a computed sum",detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_revenue_grain_diagnostic,Revenue aggregation diagnostic,Whether the reporting grain is resolved well enough to publish a revenue total.,intrastate_549d,Form 549D:annual,,,,diagnostic,categorical,d549_grain_probe,,,,"NO 'same amount means duplicate' rule and NO 0.5% divergence threshold. If the grain is unresolved the aggregate is BLOCKED and alternative treatments are retained as audit scenarios, not as confidence bounds",detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_component_rates,Reported component rates,"Filed component rates with their descriptors, units and time bases.",intrastate_549d,Form 549D:quarter,,,,per descriptor; different unit/time bases stay separate,as reported,d549_rates,,,,validated on matching component/unit/time bases; annual revenue is NEVER divided by quarterly usage; no all-in tariff invented from missing rates,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_discounts_and_schedules,"Discounts, rate schedules and PR dockets","Discounted-rate lists, rate schedules and the PR dockets that authorise them.",intrastate_549d,Form 549D:quarter,,,,per service,categorical,d549_descriptors,,,,rate authority applies to particular services; corrected filings are kept distinct from changed trading activity,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_points_decoded,Decoded receipt and delivery points,Point codes joined to separately filed cross-reference records where the evidence supports the join.,intrastate_549d,Form 549D:quarter,,,,per contract,codes,d549_points,,,,unknown proprietary codes remain codes; no invented names,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
i311_reporting_state,Reporting state,Whether the respondent filed activity or declared no reportable activity.,intrastate_549d,Form 549D:quarter,,,,filing-level,categorical,d549_state,,,,'No reportable activity declared' is a valid filing state and is never displayed as 'no filing' or 'pipeline inactive'; missing rows do not prove contracts terminated,detail,,implemented,form549d,all-regime-2026-09-09-integrated2,
rate_case_status,General rate case status,"Current stage of the entity's general rate proceeding, from order text.",interstate_gas;gas_storage;liquids;intrastate_549d,eLibrary document:as_of,,,,the named docket only,categorical,document_span,,,,"filings, accepted/suspended rates, settlement approval, rate effectiveness and refund completion are DISTINCT states; an explicitly sourced legal date is marked differently from a stage inferred from metadata; the most recent filing in a docket does not supersede every earlier order",headline,,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
rate_effective_date,Rate effective date,"The date on which rates became or become effective, from order text.",interstate_gas;gas_storage;liquids;intrastate_549d,eLibrary document:as_of,,,,the named docket,(date),document_span,,,,requires order text; metadata inference alone is insufficient,detail,,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
refund_exposure_window,Refund exposure window,The period over which collections may be subject to refund. Identifies the WINDOW only.,interstate_gas;gas_storage;liquids,eLibrary document:as_of,,,,the named docket,(date range),document_span,,,,NO dollar amount is published without a sourced calculation of the affected rates and volumes,conditional,,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
tariff_operative_rate,Operative tariff rate,A legally operative numeric rate.,interstate_gas;liquids,eLibrary document:as_of,,,,per rate schedule and service,as filed,document_span,,,,"published ONLY when record, scope, effective status and the relevant orders reconcile; otherwise the retrieved source values are retained with an explicit unresolved-operative-rate status",gated,ungates per filer when a tariff record's effective status and the governing order are both retrieved and reconciled,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
lng_liquefaction_capacity,Authorised liquefaction capacity,"Liquefaction/export capacity authorised by a FERC order, with its exact basis.",lng,eLibrary document:as_of,,,,the authorised facility named in the order; never a terminal-wide total copied onto a train group,as stated in the order,document_span,,,,order basis and units cited; never substituted by a regasification or send-out figure; not actual output; not an export licence,headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_regas_sendout_capacity,Authorised regasification / send-out capacity,Regasification or send-out capacity authorised by a FERC order.,lng,eLibrary document:as_of,,,,the authorised facility named in the order,as stated in the order,document_span,,,,kept strictly separate from liquefaction capacity,headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_storage_capacity,Authorised LNG storage,Authorised LNG storage capacity and its amendments.,lng,eLibrary document:as_of,,,,shared-facility scope preserved; parent totals never duplicated onto each asset,as stated in the order,document_span,,,,"amendments preserved as a sequence, not overwritten",profile,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_status_requested,Facility status: requested,An application or request has been filed. A request decides nothing and is never an approval.,lng,eLibrary document:as_of,,,,the named facility and docket,categorical,document_span,,,,"the four states -- requested, commissioning authorised, service authorised, operation reported -- are four separate assertions and never substitute for one another. One order may grant two of them; that order produces both states, not one.",headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_status_commissioning,Facility status: commissioning authorised,"FERC has permitted the introduction of hazardous fluids, feed gas or refrigerants into a named component. This is a construction/start-up step. It is NOT authorisation to enter service and NOT evidence of operation.",lng,eLibrary document:as_of,,,,"the named component of the named facility, and the docket",categorical,document_span,,,,"the four states -- requested, commissioning authorised, service authorised, operation reported -- are four separate assertions and never substitute for one another. One order may grant two of them; that order produces both states, not one.",headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_status_authorised,Facility status: authorised to enter service,FERC has authorised entry into service. This is NOT proof of an actual start.,lng,eLibrary document:as_of,,,,the named facility and docket,categorical,document_span,,,,"the four states -- requested, commissioning authorised, service authorised, operation reported -- are four separate assertions and never substitute for one another. One order may grant two of them; that order produces both states, not one.",headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_status_operating,Facility status: operation reported,Operation has been reported to FERC. This is NOT implied by an authorisation.,lng,eLibrary document:as_of,,,,the named facility and docket,categorical,document_span,,,,"the four states -- requested, commissioning authorised, service authorised, operation reported -- are four separate assertions and never substitute for one another. One order may grant two of them; that order produces both states, not one.",headline,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_operational_report,Latest operational report,"The latest operational report period and filing, plus the facility-specific reporting obligation that requires it.",lng,eLibrary document:as_of,,,,the named facility; joint filer and docket associations retained,(period),document_span,,,,the obligation is verified from the facility's own FERC order. The generic 284.126(g) semi-annual storage-report Class/Type is NOT proof of an LNG reporting obligation,detail,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_inspection,Latest inspection and follow-up,"The latest inspection, extracted outcomes, follow-up evidence and any unresolved conditions.",lng,eLibrary document:as_of,,,,the named facility,categorical | (date),document_span,,,,"if only metadata were read, the outcome is recorded as NOT EXTRACTED; no closure or compliance status is invented. The actual inspection date is a date-valued capability; discovery, findings, actions and closure are categorical capabilities and remain distinct in scope.",detail,,implemented,lng,all-regime-2026-09-09-integrated2,
lng_material_order,"Material order, amendment or operating restriction","A decision affecting the facility, described by what it decided.",lng,eLibrary document:as_of,,,,the named facility and docket,categorical,document_span,,,,"described as a decision, not merely as 'a new CP filing'; one shared filing links to several assets without duplicating capacities or events",headline,,implemented,lng,all-regime-2026-09-09-integrated2,
event_reportable_interruption,Reportable service interruption,An interruption reported to FERC under the applicable reporting rule.,interstate_gas,eLibrary document:as_of,,,,"Form 576 scope is INTERSTATE GAS, not all gas",categorical,document_span,,,,"FERC-only interruption reports are not comprehensive availability statistics; classification route must be verified, and zero local records is not evidence that no source exists",detail,,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
event_replacement_report,Facility replacement report,A filed replacement report.,interstate_gas,eLibrary document:as_of,,,,the named facility,categorical,document_span,,,,a routine replacement report is NOT maintenance-capex data and does not by itself establish financial materiality,detail,,implemented,elibrary_docs,all-regime-2026-09-09-integrated2,
