source_doc,source_row,source_regime,source_text,disposition,metric_id,template,adapter,implementation,role,note
Day 3 current-vs-target gap,Inspections and follow-up,LNG,Inspections and follow-up EVENT_ALERT + status card,carried,lng_inspection,lng,lng,implemented,detail,
Day 3 current-vs-target gap,"Operating / financial data (throughput, cargoes, revenue, costs, plant, rate base, utilisation, boil-off, inventory)",LNG,"Operating / financial data (throughput, cargoes, revenue, costs, plant, rate base, utilisation, boil-off, inventory) UNAVAILABLE_FROM_FERC",documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Provenance layer (source-fact identity / taxonomy labels / source URLs / filing links on facts),All regimes,Provenance layer (source-fact identity / taxonomy labels / source URLs / filing links on facts) QA_PROVENANCE_ONLY,carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: staging schema: source_facts occurrence key + source_manifest + lineage_edges
Day 3 current-vs-target gap,Canonical filing/version + restatement handling,All regimes,Canonical filing/version + restatement handling QA_PROVENANCE_ONLY + EVENT_ALERT (revision events),carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: staging.classify_version + invalidate_dependents
Day 3 current-vs-target gap,Migrated-history flagging,All regimes,Migrated-history flagging QA_PROVENANCE_ONLY,carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: status Origin.FERC_MIGRATED
Day 3 current-vs-target gap,Missing-data states,All regimes,Missing-data states QA_PROVENANCE_ONLY,carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: ferclib/status.py Availability (13 distinct states)
Day 3 current-vs-target gap,Asset mapping classes (1:1 / 1:N / N:1 / JV / subset / no-filer),All regimes,Asset mapping classes (1:1 / 1:N / N:1 / JV / subset / no-filer) QA_PROVENANCE_ONLY,carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: staging schema: asset_entity_map with mapping_scope
Day 3 current-vs-target gap,Common output envelope + operating event feed,All regimes,Common output envelope + operating event feed EVENT_ALERT,carried_as_infrastructure,,,,not_implemented,,a cross-cutting requirement satisfied by shared infrastructure: exporters.py + events table
Day 3 current-vs-target gap,Universal physical/design capacity per pipeline,Interstate gas,Universal physical/design capacity per pipeline UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Structured annual rate-base / return schedule (Form 2 equivalent of Page 700),Interstate gas,Structured annual rate-base / return schedule (Form 2 equivalent of Page 700) UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Comparable subscription-to-capacity ratio,Interstate gas,Comparable subscription-to-capacity ratio UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Quarterly regulatory economics (rate base / CoS / return / WACC),Liquids,Quarterly regulatory economics (rate base / CoS / return / WACC) UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Quarterly barrel-miles and mileage,Liquids,Quarterly barrel-miles and mileage UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Whole-business volume / revenue / capacity,Intrastate §311,Whole-business volume / revenue / capacity UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Structured operating or financial form data,LNG,Structured operating or financial form data UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Automatically decoded receipt/delivery point names,Intrastate §311,Automatically decoded receipt/delivery point names UNAVAILABLE_FROM_FERC (pending the gated retest),documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,"Normalised, legally operative tariff rates in structured form",Gas / liquids,"Normalised, legally operative tariff rates in structured form UNAVAILABLE_FROM_FERC (as structured data)",documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
Day 3 current-vs-target gap,Asset-level economics where the mapping is not one-to-one,All regimes (non-1:1 mappings),Asset-level economics where the mapping is not one-to-one UNAVAILABLE_FROM_FERC,documented_source_limit,,,,not_implemented,,"Recorded in the revised template as a source limitation with its reason. It is a documented absence of a FERC source, not unfinished engineering, and no value is fabricated to fill it."
